"subject","version","assignmentId","cond","instructions_time","total_time","gender","s1_bonus","use_s1","write_down","comments","attention_check_truth","attention_check_result","tr_choices","tr_rt","tr_resp","tr_resp2","tr_resp_correct","tr_resp2_correct","stamp","id"
"6b3d9bad1a79ea3d6e853419f34854fc","cs_wg_mon_conf_loss_real1","37C0GNLMHF4WAUWM0BNT7KKC7Y9D64",0,94501,694010,"Female",1124,"No","No","I just chose what word first came to my mind when I thought of May.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:24:40",14287
"27ec8169710d6b66bebe53f53ccd26c3","cs_wg_mon_conf_loss_real1","3RXPCZQMQPC4FS5GWVCKI9WSCF9G1J",0,65193,899830,"Male",1368,"No","No","I thought there were a lot of months with T so I knew that was late in the alphabet. I thought of those months and found october. DAMN YOU NOVEMBER AND MAY.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:28:16",14288
"2bcfecfb3484711c0006206ad0a42871","cs_wg_mon_conf_loss_real1","33F859I566EJSMIJIYNR9LL2DRDBHW",0,166983,860618,"Male",1251,"No","No","",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:28:23",14289
"530e26eb576548494012f16d5ff663ac","cs_wg_mon_conf_loss_real1","3WMOAN2SRBYQBW20QD94FHC52V1VNU",0,105496,928435,"Male",1394,"No","No","Quite frankly, I was a bit thrown off - I had difficulty understanding that the words in question from Part 1 were in fact the months. Perhaps it was my own fault, but I don't feel as though it was obvious.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:30:06",14290
"cf82db4191159279b5660043f207004b","cs_wg_mon_conf_loss_real1","3PQMUDRV7R7TBP79UQXTVKQU8UCII5",0,69662,911634,"Female",1360,"No","No","My strategy for the third letter question was to go with the longest (in terms of letters) month and then count the vowels quick. ",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:31:14",14291
"a39565e6f6d74a9508035b8224756872","cs_wg_mon_conf_loss_real1","3QEMNNSB2X0FEUARJLSLDYK829TD73",0,104766,1107696,"Female",1224,"No","No","This was interesting!   I just tried to visualize the alphabet and where the letters of the months fit on it",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:31:55",14292
"486ad80f22e951556c0bb3f4a388340b","cs_wg_mon_conf_loss_real1","3K4J6M3CXEU09GIGSE5DTAPVG9FGA7",1,110430,1039130,"Female",1042,"No","No","Just thinking of the third letter in months as quickly as I could",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:32:08",14293
"f3cbc768a730bc9330f2270eac3e0498","cs_wg_mon_conf_loss_real1","37C0GNLMHF4WAUWM0BNT7KKC7Y96DX",0,81879,1098497,"Male",1378,"No","No","I tried to go through the months in chronological order, and I felt that I was really clearly identifying the right letter and its order in the alphabet. But for some reason, I either missed May or didn't realize this was clearly the best answer. I got to the early fall months, saw the timer was ticking down to zero, and suddenly decided that November had to be the best answer. So I entered that.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:32:43",14294
"01023793d732933dbf5c92fd9b9f078a","cs_wg_mon_conf_loss_real1","3A1PQ49WVHIIFO0RG1U2398TRFMH1J",1,63485,1009928,"Male",1120,"No","No","just thought of month names until I thought of may and figured that was the best",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:33:17",14295
"701a06cd401693ea875340d89f7ded65","cs_wg_mon_conf_loss_real1","374TNBHA8BWSINAXBGO5QAB4PNRQYM",1,207953,967239,"Male",946,"No","No","To go through the list of months chronologically until I hit a month with a very late letter in the alphabet.",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:33:55",14296
"52cd66f63e078e291c183f481087647c","cs_wg_mon_conf_loss_real1","34T446B1C0FRRR4TYQC1EDS39VB0CQ",0,203794,1231554,"Male",1280,"No","No","I thought the the 'third letter' question was another set of instructions.  It took me nearly 10 seconds of reading before I figured out that I had to input a day of the week (my input was januar).",NA,NA,"NULL","NULL","NULL","NULL","NULL","NULL","2020-07-27 13:34:00",14297
