subject,instructions_time,total_time,gender,use_s1,write_down,comments,stamp,id
aa1d5b03db0621cc7b9e52f923bd7d41,57736,419876,Female,No,No,no,6/5/19 12:19,12970
0606a6422ccf8697f3cdaf1ba5938c0e,60163,459946,Male,No,No,I do not,6/5/19 12:20,12971
ef0ab7523742e158ec7d3963b238fdf7,34928,457334,Male,No,No,,6/5/19 12:21,12972
d6220ba5dd432def120772e2e1454e3c,37550,515885,Male,No,No,,6/5/19 12:21,12973
313d98b69d3d4f352a3ffbef73ba44f9,86225,501146,Male,No,No,Good,6/5/19 12:21,12974
0139cd9fbefdf10ba048ff8923b8e13a,78682,473020,Male,No,No,,6/5/19 12:21,12975
d5062a49bf0db1c385c0f222ebb4ba67,41071,457705,Female,No,No,"It was really fun to try and figure out which months were worth more, and to get the most points. An enjoyable hit, thanks so much!",6/5/19 12:22,12976
33d15458e3deedb1550b0f63887c6cab,119638,520467,Male,No,No,Everything was great thank you for letting me participate.,6/5/19 12:22,12977
97f0244747728f90f985af0f5134c2b6,43795,537517,Male,No,No,"Have a good day, researchers!",6/5/19 12:22,12978
65c24d0990f2c00efdeb0eda1a720966,70363,546374,Female,No,No,no,6/5/19 12:22,12979
a502708665d7f923db9acd8187705704,64808,603400,Male,No,No,No comments.,6/5/19 12:23,12980
3672ba0dea8ca4c3af20936e2d0f55ae,53939,616012,Female,No,No,thank you!,6/5/19 12:23,12981
03b602885b5804bf01afc9a814a19c30,75164,649066,Male,No,No,No comments. ,6/5/19 12:24,12982
b007722bc37cd70d10475ac40ecc7b3c,63104,682310,Male,No,No,very interesting,6/5/19 12:24,12983
145a21fdb5bafa538b0f19fea5e40b91,89787,663337,Male,No,No,Very interesting!  I've never done a survey like this before.,6/5/19 12:24,12984
4ce73caf0540517e6cee3a82ec10425e,113480,708047,Male,No,No,,6/5/19 12:24,12985
0588f4985fe8828b0ab3cc7b9047e4f8,66869,568781,Male,No,No,Thank you for allowing me to participate.,6/5/19 12:24,12986
01f9c492df46b84d0e30a2551492afaf,116362,694411,Male,No,No,Nice Study.,6/5/19 12:24,12987
adcee5ecf15a329d2c6291b5e01d7191,96403,702172,Female,No,No,fun study,6/5/19 12:24,12988
01bccaa4dd71661a7bc855c50cc08033,101983,704580,Male,No,No,No comments.,6/5/19 12:24,12989
792de444e782773689cfe01b3b4b1748,130833,713526,Female,No,No,,6/5/19 12:24,12990
4e647d8afe3ad4afee614629541a9bc4,60975,716075,Female,No,No,Nope!,6/5/19 12:24,12991
9fc361f9a98d3c0094182d9a50ebeba5,89243,655617,Female,No,No,great task,6/5/19 12:25,12992
5528af7ee0e138e557b032194547d5bf,67675,750041,Male,No,No,no comment,6/5/19 12:25,12993
15737b958a86bbc07d367a0122820b1f,73786,610864,Male,No,No,,6/5/19 12:25,12994
