subject,question,question_ind,all_values,question_order,comp_check,comp_check_pass,comp_check_rt,comp_check2,comp_check_pass2,choice,scratch,rt,stamp,id
e192df7b040d475dc4798930f8c80f5b,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,30273,0,1,January,,21000,1/7/19 14:50,32863
e192df7b040d475dc4798930f8c80f5b,choice-set,2,[],2,-1,-1,-1,NA,0,"{""April"":""0"",""August"":""1"",""December"":""0"",""September"":""1"",""June"":""1"",""January"":""0"",""October"":""1"",""May"":""1"",""March"":""1"",""February"":""1"",""July"":""0"",""November"":""1""}",{},12145,1/7/19 14:52,32864
dff85dacd199fb041321e6b900d547fd,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,38514,0,1,March,,21000,1/7/19 14:52,32865
8015d8dacefa10ac40db304b7fdac667,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,51482,0,1,september,"jul
sep",21000,1/7/19 14:53,32866
9b09762b3f12a0eb9d9a9a392b171f62,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,15,0,21174,0,1,may,,21000,1/7/19 14:53,32867
dff85dacd199fb041321e6b900d547fd,choice-set,2,[],2,-1,-1,-1,NA,0,"{""May"":""1"",""January"":""0"",""August"":""0"",""June"":""0"",""July"":""0"",""April"":""0"",""September"":""1"",""February"":""0"",""March"":""0"",""October"":""1"",""December"":""1"",""November"":""1""}",{},19219,1/7/19 14:53,32868
31e4ec4062d7f85a7bcef34a89398573,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,29798,0,1,may,may,21000,1/7/19 14:53,32869
9db07206d155ba1928e1031624af18a0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,40182,0,1,october,"december
november
mah
august
october
",21000,1/7/19 14:54,32870
a52376d97cf39f0be1a6178716b82be9,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,15,0,23498,15,0,ready,ready,21000,1/7/19 14:54,32871
2f1490f6ee4b4c457b2d26b7218a1a02,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,34460,0,1,,,21000,1/7/19 14:54,32872
3724ea9a612262054ebd5b38d90a52a5,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,0,0,8573,0,1,book,,21000,1/7/19 14:54,32873
9b09762b3f12a0eb9d9a9a392b171f62,choice-set,2,[],2,-1,-1,-1,NA,0,"{""December"":""1"",""August"":""1"",""June"":""1"",""May"":""0"",""November"":""1"",""March"":""1"",""July"":""1"",""April"":""1"",""October"":""1"",""September"":""1"",""January"":""1"",""February"":""1""}",{},28403,1/7/19 14:54,32874
b40450a1a3394a73564792a606739bbe,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,28513,0,1,,,21000,1/7/19 14:55,32875
8015d8dacefa10ac40db304b7fdac667,choice-set,2,[],2,-1,-1,-1,NA,0,"{""May"":""1"",""January"":""0"",""July"":""0"",""February"":""1"",""October"":""1"",""September"":""0"",""April"":""0"",""December"":""0"",""June"":""0"",""March"":""1"",""November"":""1"",""August"":""0""}",{},31175,1/7/19 14:55,32876
7d3aa0b1785e7ab42dc3988994173612,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,4014,15,0,APRIL,"months, days, four",21000,1/7/19 14:55,32877
88a8f34348d4fdaa4d1e3fa2031a6e11,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,21859,0,1,November,,21000,1/7/19 14:55,32878
10cd9a04436c98040d53f382a60cc92d,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,32668,0,1,November,,21000,1/7/19 14:55,32879
9db07206d155ba1928e1031624af18a0,choice-set,2,[],2,-1,-1,-1,NA,0,"{""May"":""0"",""September"":""0"",""April"":""1"",""August"":""0"",""December"":""0"",""October"":""0"",""March"":""1"",""February"":""1"",""June"":""1"",""January"":""0"",""July"":""1"",""November"":""0""}",{},3186,1/7/19 14:55,32880
3724ea9a612262054ebd5b38d90a52a5,choice-set,2,[],2,-1,-1,-1,NA,0,"{""March"":""1"",""September"":""1"",""October"":""1"",""August"":""0"",""April"":""1"",""February"":""1"",""May"":""0"",""November"":""1"",""July"":""1"",""December"":""1"",""June"":""1"",""January"":""1""}",{},11548,1/7/19 14:55,32881
31e4ec4062d7f85a7bcef34a89398573,choice-set,2,[],2,-1,-1,-1,NA,0,"{""October"":""1"",""June"":""1"",""May"":""0"",""November"":""1"",""December"":""1"",""March"":""1"",""July"":""1"",""February"":""1"",""January"":""1"",""April"":""1"",""September"":""1"",""August"":""1""}",{},33750,1/7/19 14:55,32882
7d3aa0b1785e7ab42dc3988994173612,choice-set,2,[],2,-1,-1,-1,NA,0,"{""October"":""0"",""August"":""0"",""March"":""1"",""May"":""1"",""September"":""0"",""December"":""0"",""January"":""1"",""April"":""0"",""June"":""0"",""February"":""0"",""November"":""1"",""July"":""0""}",{},2131,1/7/19 14:55,32883
2f1490f6ee4b4c457b2d26b7218a1a02,choice-set,2,[],2,-1,-1,-1,NA,0,"{""May"":""1"",""June"":""1"",""April"":""1"",""January"":""0"",""February"":""1"",""December"":""0"",""October"":""0"",""November"":""0"",""March"":""1"",""July"":""1"",""September"":""0"",""August"":""1""}",{},33079,1/7/19 14:56,32884
98733b252e59f9b7aa0803909f2283d9,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,56795,0,1,December,,21000,1/7/19 14:56,32885
b58c0040a0d2db026cd823f81da6c05d,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,26791,0,1,September,,21000,1/7/19 14:56,32886
a52376d97cf39f0be1a6178716b82be9,choice-set,2,[],2,-1,-1,-1,NA,0,"{""October"":""1"",""December"":""0"",""August"":""0"",""February"":""0"",""May"":""0"",""June"":""0"",""January"":""0"",""March"":""0"",""April"":""0"",""September"":""0"",""July"":""0"",""November"":""0""}",{},16662,1/7/19 14:56,32887
1720be07194550c65daf863267bebe78,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,54061,0,1,November,,21000,1/7/19 14:56,32888
0d584690ff941a3df84739b262ff26ef,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,63589,0,1,May,,21000,1/7/19 14:56,32889
88a8f34348d4fdaa4d1e3fa2031a6e11,choice-set,2,[],2,-1,-1,-1,NA,0,"{""January"":""1"",""October"":""1"",""November"":""0"",""February"":""1"",""July"":""1"",""March"":""1"",""June"":""1"",""August"":""1"",""December"":""1"",""September"":""1"",""April"":""1"",""May"":""1""}",{},27963,1/7/19 14:56,32890
b40450a1a3394a73564792a606739bbe,choice-set,2,[],2,-1,-1,-1,NA,0,"{""August"":""0"",""January"":""1"",""April"":""1"",""June"":""1"",""May"":""1"",""July"":""1"",""September"":""1"",""December"":""1"",""October"":""0"",""November"":""0"",""February"":""1"",""March"":""1""}",{},37286,1/7/19 14:56,32891
98733b252e59f9b7aa0803909f2283d9,choice-set,2,[],2,-1,-1,-1,NA,0,"{""June"":""1"",""July"":""1"",""November"":""1"",""December"":""0"",""April"":""1"",""February"":""0"",""March"":""1"",""October"":""1"",""September"":""1"",""January"":""1"",""May"":""1"",""August"":""1""}",{},6462,1/7/19 14:57,32892
10cd9a04436c98040d53f382a60cc92d,choice-set,2,[],2,-1,-1,-1,NA,0,"{""June"":""1"",""April"":""1"",""December"":""0"",""May"":""1"",""January"":""0"",""February"":""0"",""October"":""1"",""March"":""1"",""September"":""0"",""July"":""1"",""August"":""1"",""November"":""0""}",{},54181,1/7/19 14:57,32893
399b2c8618f4416c8b3aecf638e9ed50,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,46938,26,0,January,,21000,1/7/19 14:57,32894
b58c0040a0d2db026cd823f81da6c05d,choice-set,2,[],2,-1,-1,-1,NA,0,"{""July"":""1"",""December"":""0"",""April"":""1"",""September"":""0"",""June"":""1"",""January"":""0"",""February"":""0"",""August"":""0"",""March"":""1"",""October"":""1"",""November"":""1"",""May"":""1""}",{},4865,1/7/19 14:57,32895
a0415cfb430a81a956d08e1101d9da4f,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,84776,0,1,January,,21000,1/7/19 14:57,32896
2bcf71d919e1e21a75863fec16fb941f,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,35309,0,1,may,,21000,1/7/19 14:57,32897
