subject,question,question_ind,all_values,question_order,comp_check,comp_check_pass,comp_check_rt,comp_check2,comp_check_pass2,choice,scratch,rt,stamp,id
099decdbb165bfdac4e8f8c36e724981,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,4918,26,0,ocean,,21000,8/29/18 14:32,23320
aa1d5b03db0621cc7b9e52f923bd7d41,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,25553,0,1,May,May,21000,8/29/18 14:32,23321
099decdbb165bfdac4e8f8c36e724981,choice-set,2,[],2,-1,-1,-1,NA,0,"{""January"":0,""June"":0,""July"":0,""August"":0,""September"":0,""March"":0,""February"":0,""November"":0,""April"":0,""October"":0,""May"":0,""December"":0}",,19997,8/29/18 14:33,23322
aa1d5b03db0621cc7b9e52f923bd7d41,choice-set,2,[],2,-1,-1,-1,NA,0,"{""January"":0,""June"":0,""May"":1,""April"":1,""September"":0,""August"":0,""March"":0,""July"":0,""December"":0,""October"":1,""November"":0,""February"":0}",,23341,8/29/18 14:36,23323
4e25758d30d2634a071a5f58f6c268e6,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,17365,0,1,November,January February March April May June Jul,21000,8/29/18 14:36,23324
91dd13abc0f3c1d337fda0b4d6758874,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,5289,15,0,february,love you,21000,8/29/18 14:37,23325
8b979d24464541c7e4c0d1998e04b18f,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,20564,0,1,may,may,21000,8/29/18 14:37,23326
bdd3dd951f16c91410475bf1c6e35308,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,24309,0,1,OCTOBER,,21000,8/29/18 14:37,23327
0ff0c2f61f80c665b1e9edfc5502fa39,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,53515,0,1,"May
","January
February
March
April
May
June
july
august
september
october
november
december",21000,8/29/18 14:37,23328
4e25758d30d2634a071a5f58f6c268e6,choice-set,2,[],2,-1,-1,-1,NA,0,"{""April"":0,""September"":0,""August"":0,""June"":0,""February"":0,""March"":0,""December"":0,""October"":0,""November"":1,""July"":0,""May"":0,""January"":0}",,11113,8/29/18 14:37,23329
d61157233d838d9cba1c9335e92c04e5,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,39583,0,1,March,,21000,8/29/18 14:38,23330
86ab439ec173cad8d5636e1d2d516766,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,30,0,13327,30,0,good,none,21000,8/29/18 14:38,23331
6fc815726ca287fe5992578307c742dd,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,25725,0,1,march,,21000,8/29/18 14:38,23332
8b979d24464541c7e4c0d1998e04b18f,choice-set,2,[],2,-1,-1,-1,NA,0,"{""January"":0,""February"":0,""July"":0,""August"":0,""April"":0,""March"":0,""September"":0,""October"":0,""November"":1,""June"":0,""May"":1,""December"":0}",,27531,8/29/18 14:38,23333
91dd13abc0f3c1d337fda0b4d6758874,choice-set,2,[],2,-1,-1,-1,NA,0,"{""January"":0,""February"":1,""March"":0,""May"":0,""December"":0,""April"":0,""June"":0,""October"":0,""August"":0,""September"":0,""July"":1,""November"":0}",,17810,8/29/18 14:38,23334
bdd3dd951f16c91410475bf1c6e35308,choice-set,2,[],2,-1,-1,-1,NA,0,"{""October"":1,""November"":0,""September"":1,""July"":0,""August"":0,""January"":0,""June"":0,""February"":0,""December"":0,""March"":0,""May"":0,""April"":0}",,5899,8/29/18 14:38,23335
0ff0c2f61f80c665b1e9edfc5502fa39,choice-set,2,[],2,-1,-1,-1,NA,0,"{""August"":1,""October"":1,""February"":1,""November"":1,""March"":1,""July"":1,""December"":1,""June"":1,""April"":1,""January"":1,""September"":1,""May"":1}",,23720,8/29/18 14:38,23336
cd51d50d039cef8a22afc23b325fed82,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,24404,0,1,october,october,21000,8/29/18 14:38,23337
