subject,cond,instructions_time,total_time,gender,use_s1,write_down,comments,stamp,id
6b3d9bad1a79ea3d6e853419f34854fc,0,94501,694010,Female,No,No,I just chose what word first came to my mind when I thought of May.,7/27/20 13:24,14287
27ec8169710d6b66bebe53f53ccd26c3,0,65193,899830,Male,No,No,I thought there were a lot of months with T so I knew that was late in the alphabet. I thought of those months and found october. DAMN YOU NOVEMBER AND MAY.,7/27/20 13:28,14288
2bcfecfb3484711c0006206ad0a42871,0,166983,860618,Male,No,No,,7/27/20 13:28,14289
530e26eb576548494012f16d5ff663ac,0,105496,928435,Male,No,No,"Quite frankly, I was a bit thrown off - I had difficulty understanding that the words in question from Part 1 were in fact the months. Perhaps it was my own fault, but I don't feel as though it was obvious.",7/27/20 13:30,14290
cf82db4191159279b5660043f207004b,0,69662,911634,Female,No,No,My strategy for the third letter question was to go with the longest (in terms of letters) month and then count the vowels quick. ,7/27/20 13:31,14291
a39565e6f6d74a9508035b8224756872,0,104766,1107696,Female,No,No,This was interesting!   I just tried to visualize the alphabet and where the letters of the months fit on it,7/27/20 13:31,14292
486ad80f22e951556c0bb3f4a388340b,1,110430,1039130,Female,No,No,Just thinking of the third letter in months as quickly as I could,7/27/20 13:32,14293
f3cbc768a730bc9330f2270eac3e0498,0,81879,1098497,Male,No,No,"I tried to go through the months in chronological order, and I felt that I was really clearly identifying the right letter and its order in the alphabet. But for some reason, I either missed May or didn't realize this was clearly the best answer. I got to the early fall months, saw the timer was ticking down to zero, and suddenly decided that November had to be the best answer. So I entered that.",7/27/20 13:32,14294
01023793d732933dbf5c92fd9b9f078a,1,63485,1009928,Male,No,No,just thought of month names until I thought of may and figured that was the best,7/27/20 13:33,14295
701a06cd401693ea875340d89f7ded65,1,207953,967239,Male,No,No,To go through the list of months chronologically until I hit a month with a very late letter in the alphabet.,7/27/20 13:33,14296
52cd66f63e078e291c183f481087647c,0,203794,1231554,Male,No,No,I thought the the 'third letter' question was another set of instructions.  It took me nearly 10 seconds of reading before I figured out that I had to input a day of the week (my input was januar).,7/27/20 13:34,14297
3f678a2078227f5d7c87efcd4eac1eb1,0,176839,1093560,Male,No,No,I just tried to visual the words in my head as best as I could.,7/27/20 13:34,14298
c71aa12ac6d08001f358d76cf4e43498,1,134188,1058424,Female,No,No,I was trying to go through the months and ran out of time. I wrote in September quickly and shook my head as I thought about May.,7/27/20 13:34,14299
fb2328dfc53e7c541dd32bbde1efddb7,0,73094,914847,Female,No,No,"I started with November because of the v, but then I tried saying each month in order one by one. I didn't get through them all ",7/27/20 13:35,14300
b8cf446731ee39a255d7f22eba530789,0,87675,1183386,Female,No,No,ran down months in head but wanted to be sure to have an answer in place before time ran out,7/27/20 13:35,14301
9bab0040ea30352458ad3bfa7e4d350a,1,103097,1105482,Female,No,No,I went with my instincts. The months popped up in my head randomly.,7/27/20 13:35,14302
6df2ce0e918974899e7637179cd4d165,0,116792,1172313,Female,No,No,I started at the beginning of the year and thought of months until I ran out of time. ,7/27/20 13:35,14303
e2dcc6eed89e71148d86339d89b55d3c,1,158076,1344395,Male,No,Yes,My strategy was to try visualizing the words in my mind.,7/27/20 13:35,14304
2e5fe0e71e606357183b9f6aede98522,0,130676,1226114,Male,No,No,I thought of the longer months w/later vowels..obviously missed may :) ,7/27/20 13:36,14305
e00da79555aed361acdb88242f5e809f,1,137641,1112290,Female,No,No,I actually thought of November when I saw the sample question; i kind of ran through the months randomly when the actual question came up but May never occurred to me even then. Somehow I equated more letters in the word=higher third number in my head!,7/27/20 13:36,14306
c31a85663dbe2ec62bb92e9a8b470d1c,0,93363,1172501,Male,No,No,"i thought about months and wrote one down, then went through the calendar in order in my head",7/27/20 13:36,14307
ce889dc24d3bc53756faa92934b99fe6,1,116138,1439150,Female,No,No,,7/27/20 13:37,14308
74fbfacac4011bd196e581153df4240b,1,82693,1123743,Female,No,No,"I just thought of March first because it was a short month and R is late in the alphabet...but then, I thought ""OCT"" and realized that T is after R in the alphabet, so I chose October. ",7/27/20 13:37,14309
ce12a851295fa081aca0cb36eefbb364,1,192825,1367737,Male,Yes,No,challenging and fun. i felt the v would give me the most points,7/27/20 13:37,14310
e385b4096b98592caba3082fbdcd55f8,1,85343,1188444,Male,Yes,No,"My Apologies , Auto correct place "" TREASURE "" where i meant August.",7/27/20 13:38,14311
1760d4eacc348e1a1db3b04e488d042e,1,136001,1115417,Female,No,No,No.,7/27/20 13:38,14312
e18eb5a06a48186329f301a1ef8ee69a,1,193213,1458604,Male,Yes,No,,7/27/20 13:38,14313
6d25d7621a8bcc0961afcbb484169a5f,0,211482,1178950,Female,Yes,No,P,7/27/20 13:38,14314
8b4d7f8ef92e92a941860ddb62b6af48,1,185036,1285937,Female,No,No,no,7/27/20 13:38,14315
7498a00366b218b59a5e03b8c5b600a6,1,208528,1266759,Female,No,No,"I was thinking about how many vowels the word had september first came to mind, then November poped up in my mind, I didnt even think about may and was like not much else comes after v in the alphabet so I went with that because the timer was running out.",7/27/20 13:38,14316
5505e6519f92cb871618bf3e8e81c1c8,1,73067,931563,Male,No,No,I listed months so I could physically see the third letter in the notepad,7/27/20 13:38,14317
042a8354d4983b7b23c84cca277672c8,1,50993,850144,Male,No,No,"I was going to go through in order, but then ""MAY"" jumped to mind.",7/27/20 13:39,14318
072de62f22c98b4bc17e317d9b891cf7,0,101336,1278898,Female,No,No,trying to remember the highest value,7/27/20 13:39,14319
