subject,instructions_time,total_time,gender,use_s1,write_down,comments,stamp,id
e192df7b040d475dc4798930f8c80f5b,55417,555938,Male,No,No,Just what came to my mind.,1/7/19 14:52,10659
dff85dacd199fb041321e6b900d547fd,41280,612016,Female,No,No,I thought of letters that were towards the end of the alphabet and then went through the list of months. ,1/7/19 14:53,10660
9b09762b3f12a0eb9d9a9a392b171f62,42651,558213,Male,No,No,"Think of all the months end in ""y""",1/7/19 14:55,10661
8015d8dacefa10ac40db304b7fdac667,100113,709916,Male,No,No,I tried to think and/or type the first 3 letters while I could.,1/7/19 14:55,10662
3724ea9a612262054ebd5b38d90a52a5,27199,420983,Female,Yes,No,i didn't have an exact strategy for it,1/7/19 14:55,10663
9db07206d155ba1928e1031624af18a0,79770,799183,Female,No,No,,1/7/19 14:55,10664
31e4ec4062d7f85a7bcef34a89398573,62119,767364,Female,No,No,I thought about the months and which third letter that comes late in the alphabet. May came up instantly.,1/7/19 14:55,10665
7d3aa0b1785e7ab42dc3988994173612,24835,458937,Male,Yes,No,,1/7/19 14:56,10666
2f1490f6ee4b4c457b2d26b7218a1a02,54697,762771,Female,No,No,"I was unable to anwser in time, my choice would have been october given the time frame",1/7/19 14:56,10667
a52376d97cf39f0be1a6178716b82be9,62378,770215,Female,Yes,No,I loved this study. To think if I saw the last word for the month.,1/7/19 14:56,10668
88a8f34348d4fdaa4d1e3fa2031a6e11,33063,896698,Female,No,No,"I just thought of months with those last letters of the alphabet, the uncommon ones (v, x, y, z) and only November came to mind.",1/7/19 14:57,10669
b40450a1a3394a73564792a606739bbe,82755,794664,Male,No,No,"Try to figure out which months had a letter that was late in the alphabet, then from those pick the one that has the latest letter",1/7/19 14:57,10670
98733b252e59f9b7aa0803909f2283d9,106467,861667,Female,No,No,No comments.,1/7/19 14:57,10671
10cd9a04436c98040d53f382a60cc92d,78147,903977,Female,No,No,I went through the longer months in my head and chose the one that fit the question best.,1/7/19 14:57,10672
b58c0040a0d2db026cd823f81da6c05d,85880,718394,Male,No,No,,1/7/19 14:57,10673
1720be07194550c65daf863267bebe78,104764,918518,Female,No,No,I tried to recall names of months as quickly as I could,1/7/19 14:58,10674
0d584690ff941a3df84739b262ff26ef,84385,914834,Male,No,No,I quickly did a mental rundown of months and once I hit May I knew no other month could beat it,1/7/19 14:59,10675
399b2c8618f4416c8b3aecf638e9ed50,122408,1019401,Female,No,No,Randomly considering months till time was almost up.,1/7/19 14:59,10676
cd01db61eb1cfb8c868feed3ad5ca47c,82595,834493,Female,No,No,Go through the months in my head,1/7/19 14:59,10677
d5896cd2a84ce9097f5de2ec8ae63293,62155,884708,Female,No,No,,1/7/19 14:59,10678
a0415cfb430a81a956d08e1101d9da4f,98944,1047830,Female,Yes,No,No comments. And I really had no strategy just went by instinct. ,1/7/19 14:59,10679
cb686dc53c3723328ab97809bc411b70,76336,1010796,Female,No,No,"Cool study. Worth the money. 

For the third letter, I first thought of a late letter in the alphabet ""March"" and then moved on to going through the months one by one. Since none have a ""Z,"" I knew May was the best answer. ",1/7/19 15:00,10680
a6e4b82698b90855cb9ef59bf0824f04,84168,941578,Female,No,No,"no comments, a little confused, no strategy",1/7/19 15:00,10681
9b3ebc3ae31c9ff5b774d9e4408a7c8c,74444,1045878,Male,No,No,"Thinking of the first month that came to mine, January.  Then taking that 3rd letter and going down the alphabet until I found one later than N.",1/7/19 15:00,10682
2bcf71d919e1e21a75863fec16fb941f,83165,1035592,Female,No,No,"I went throught he first couple of months, but once I thought of May I realized nothing would be higher than 'y', so I just typed May as my final answer",1/7/19 15:00,10683
020fb4c9b0f6c80b5b9ed8f2d4dcf353,68617,1070153,Male,No,No,,1/7/19 15:01,10684
1fd032ce96536e0154652f70648e4d8a,58197,997303,Female,No,No,I didn't have a strategy. November is the first month that came to mind and V is late in the alphabet.,1/7/19 15:01,10685
