subject,question,question_ind,all_values,question_order,comp_check,comp_check_pass,comp_check_rt,comp_check2,comp_check_pass2,choice,scratch,rt,stamp,id
a1fede247b470692a4a6a7c615fe8d30,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,15,0,4928,26,0,CATS,,21000,9/24/18 14:02,25392
3e5d6cadfcf88b8bf2c7e8c1878dfd9a,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,30588,0,1,may,,21000,9/24/18 14:02,25393
a1fede247b470692a4a6a7c615fe8d30,choice-set,2,[],2,-1,-1,-1,NA,0,"{""March"":1,""December"":1,""January"":1,""June"":1,""October"":1,""February"":0,""July"":1,""November"":1,""September"":1,""April"":0,""August"":0,""May"":0}",,2628,9/24/18 14:03,25394
3e5d6cadfcf88b8bf2c7e8c1878dfd9a,choice-set,2,[],2,-1,-1,-1,NA,0,"{""June"":0,""November"":0,""July"":0,""February"":0,""December"":0,""May"":1,""October"":0,""September"":0,""March"":0,""January"":1,""April"":0,""August"":0}",,2040,9/24/18 14:03,25395
c58c93de1093afef84130d799c2f5109,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,0,0,35345,0,1,NOVEMBER,,21000,9/24/18 14:04,25396
c34443cbfde4ec7b05e408c8c47662cc,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,30,0,24714,15,0,"September
",September,21000,9/24/18 14:04,25397
acad415d1fb6a7739472eb63d869a0ec,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,32714,0,1,September,,21000,9/24/18 14:05,25398
b33dee287257d676152aa478280530e5,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,42915,0,1,November,,21000,9/24/18 14:05,25399
c34443cbfde4ec7b05e408c8c47662cc,choice-set,2,[],2,-1,-1,-1,NA,0,"{""November"":1,""June"":1,""August"":1,""January"":1,""October"":1,""September"":1,""July"":0,""December"":1,""February"":1,""May"":0,""March"":0,""April"":1}",,5074,9/24/18 14:05,25400
a3ab455cea0ee20591a6c44ba7d36101,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,72330,0,1,cave,"Cat
Cap",21000,9/24/18 14:05,25401
961dfda65bb4399e58410b51aaf75851,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,29348,0,1,March,,21000,9/24/18 14:05,25402
32e0c66e7f464b49eb670d8187b8397d,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,47274,0,1,march,March,21000,9/24/18 14:05,25403
33bbd5a3a74691aa134fbc1e732adb4c,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,29614,0,1,Nove,,21000,9/24/18 14:05,25404
b8deead95cb10c933037b8e21f8bba55,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,94802,0,1,,,21000,9/24/18 14:06,25405
b33dee287257d676152aa478280530e5,choice-set,2,[],2,-1,-1,-1,NA,0,"{""August"":0,""May"":0,""February"":1,""June"":0,""April"":0,""December"":1,""January"":0,""March"":0,""October"":1,""July"":0,""September"":1,""November"":1}",,4560,9/24/18 14:06,25406
048a74cfc1719d7283d720f7282c8648,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,15,0,13232,0,1,february,f,21000,9/24/18 14:06,25407
f1bb82e05ec9677c1887d7f369b23fd3,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,17526,0,1,May,,21000,9/24/18 14:06,25408
d7eda57c200646cb2c27b067f8ee9a88,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,21953,0,1,November,,21000,9/24/18 14:06,25409
acad415d1fb6a7739472eb63d869a0ec,choice-set,2,[],2,-1,-1,-1,NA,0,"{""March"":1,""June"":0,""September"":1,""November"":0,""February"":1,""December"":0,""April"":0,""July"":0,""January"":0,""May"":0,""October"":0,""August"":0}",,31447,9/24/18 14:06,25410
a3ab455cea0ee20591a6c44ba7d36101,choice-set,2,[],2,-1,-1,-1,NA,0,"{""May"":0,""October"":0,""July"":0,""March"":0,""December"":0,""August"":0,""February"":0,""January"":0,""April"":0,""November"":1,""June"":0,""September"":0}",,19830,9/24/18 14:06,25411
32e0c66e7f464b49eb670d8187b8397d,choice-set,2,[],2,-1,-1,-1,NA,0,"{""December"":0,""April"":0,""July"":0,""May"":0,""June"":1,""January"":1,""August"":1,""February"":1,""November"":0,""September"":0,""October"":0,""March"":1}",,13029,9/24/18 14:06,25412
35cc0f202132a2cb37403c5ede4bae61,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,43914,0,1,May,,21000,9/24/18 14:07,25413
961dfda65bb4399e58410b51aaf75851,choice-set,2,[],2,-1,-1,-1,NA,0,"{""December"":0,""April"":1,""August"":0,""October"":0,""July"":1,""September"":1,""June"":1,""February"":1,""March"":1,""May"":0,""January"":1,""November"":0}",,16528,9/24/18 14:07,25414
7b298af3f05696ff056f37bf4548eba2,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,74438,0,1,November,,21000,9/24/18 14:07,25415
33bbd5a3a74691aa134fbc1e732adb4c,choice-set,2,[],2,-1,-1,-1,NA,0,"{""February"":0,""October"":0,""November"":1,""January"":0,""March"":0,""July"":0,""December"":0,""June"":0,""September"":0,""May"":0,""April"":0,""August"":0}",,23930,9/24/18 14:07,25416
b9b42acdf646de45caf1e11a17ceac08,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,35491,0,1,November,November,21000,9/24/18 14:07,25417
048a74cfc1719d7283d720f7282c8648,choice-set,2,[],2,-1,-1,-1,NA,0,"{""June"":0,""April"":0,""September"":0,""December"":0,""May"":0,""August"":0,""February"":1,""July"":0,""March"":0,""January"":0,""October"":0,""November"":0}",,6855,9/24/18 14:07,25418
192d2468b8268624c0e74e69a6f08d13,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,40512,0,1,April,,21000,9/24/18 14:07,25419
1378dcb5c439c9f0cbfd7fa631b2fb0f,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,19951,0,1,november,,21000,9/24/18 14:07,25420
e2b6d23eb392b116ffcf55dd556efd86,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,38877,0,1,march,,21000,9/24/18 14:07,25421
d5a782ce044da791a556cfefaee18652,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,75590,0,1,,march,21000,9/24/18 14:07,25422
580ac57a682dcb673413cdb95f7131e1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,44568,0,1,may,"january
feb
mar
apr
may",21000,9/24/18 14:07,25423
79628cb4f82772af2b84e750170108f4,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,56626,0,1,,,21000,9/24/18 14:07,25424
c58c93de1093afef84130d799c2f5109,choice-set,2,[],2,-1,-1,-1,NA,0,"{""January"":0,""October"":1,""June"":0,""November"":1,""May"":0,""February"":0,""September"":0,""April"":0,""August"":0,""March"":0,""December"":0,""July"":0}",,141861,9/24/18 14:07,25425
f1bb82e05ec9677c1887d7f369b23fd3,choice-set,2,[],2,-1,-1,-1,NA,0,"{""May"":1,""January"":1,""October"":0,""March"":0,""June"":0,""September"":0,""July"":0,""December"":1,""August"":0,""February"":0,""April"":0,""November"":1}",,25188,9/24/18 14:07,25426
d7eda57c200646cb2c27b067f8ee9a88,choice-set,2,[],2,-1,-1,-1,NA,0,"{""January"":1,""August"":1,""February"":1,""July"":1,""November"":1,""December"":1,""June"":1,""September"":1,""April"":1,""May"":1,""March"":1,""October"":1}",,23061,9/24/18 14:08,25427
19be563f3143d1a68e42e3632d783bcd,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,40370,0,1,September,,21000,9/24/18 14:08,25428
bb74f44a7200eaf2012a8c07a70782a3,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,38050,0,1,febru,"jan
mar
feb",21000,9/24/18 14:08,25429
35cc0f202132a2cb37403c5ede4bae61,choice-set,2,[],2,-1,-1,-1,NA,0,"{""July"":0,""December"":1,""June"":1,""August"":0,""April"":1,""November"":1,""January"":0,""May"":1,""October"":0,""March"":1,""September"":0,""February"":1}",,29086,9/24/18 14:08,25430
ee348ed1fceb6dc1d81a930b4be48880,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,29260,0,1,fizzle,,21000,9/24/18 14:08,25431
207f9a1b86a628d17e4a08dfe4d316cf,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,41677,0,1,octob,"oct
no",21000,9/24/18 14:08,25432
48816473ce197ab676aafbc472a09f07,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,30869,0,1,May,,21000,9/24/18 14:08,25433
192d2468b8268624c0e74e69a6f08d13,choice-set,2,[],2,-1,-1,-1,NA,0,"{""August"":0,""November"":0,""December"":1,""October"":0,""February"":0,""September"":1,""June"":1,""March"":0,""July"":0,""May"":0,""January"":0,""April"":0}",,2777,9/24/18 14:08,25434
b8deead95cb10c933037b8e21f8bba55,choice-set,2,[],2,-1,-1,-1,NA,0,"{""June"":1,""December"":1,""August"":1,""November"":1,""September"":1,""April"":1,""February"":1,""October"":1,""January"":1,""May"":1,""July"":1,""March"":1}",,30128,9/24/18 14:08,25435
040db6447d74b3111c4043109e8b14ab,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,15,0,42007,0,1,November,,21000,9/24/18 14:08,25436
24d8fdf3fb4aec44168a80b34a8b5a75,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,28451,0,1,May,,21000,9/24/18 14:08,25437
580ac57a682dcb673413cdb95f7131e1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""September"":1,""February"":1,""March"":1,""November"":0,""December"":0,""October"":0,""August"":1,""June"":1,""May"":1,""January"":1,""July"":1,""April"":1}",,13915,9/24/18 14:09,25438
20de0141e3caa6f1d7d9c1627190ab46,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,60778,0,1,November,,21000,9/24/18 14:09,25439
e2b6d23eb392b116ffcf55dd556efd86,choice-set,2,[],2,-1,-1,-1,NA,0,"{""March"":1,""November"":0,""July"":0,""May"":0,""October"":0,""April"":0,""June"":0,""December"":0,""February"":0,""September"":0,""January"":0,""August"":1}",,7575,9/24/18 14:09,25440
89d2bfbe31c8bf987f90dc455533e2c0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,30,0,35452,26,0,,,21000,9/24/18 14:09,25441
1378dcb5c439c9f0cbfd7fa631b2fb0f,choice-set,2,[],2,-1,-1,-1,NA,0,"{""November"":1,""March"":1,""May"":0,""April"":0,""July"":0,""September"":1,""August"":0,""February"":0,""October"":1,""January"":1,""June"":1,""December"":0}",,41817,9/24/18 14:09,25442
9eec5e3516635cd1932da08a7231aa11,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,37018,0,1,November,,21000,9/24/18 14:09,25443
656c1a2b088834e466093fc99507f526,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,34552,0,1,may,may apr,21000,9/24/18 14:09,25444
b2e800145b38b344a74fc1ef6f5843e0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,30,0,36804,30,0,,,21000,9/24/18 14:09,25445
d5a782ce044da791a556cfefaee18652,choice-set,2,[],2,-1,-1,-1,NA,0,"{""October"":0,""September"":0,""November"":0,""July"":0,""January"":1,""June"":0,""February"":1,""December"":0,""May"":0,""March"":1,""April"":1,""August"":0}",,45093,9/24/18 14:09,25446
ee348ed1fceb6dc1d81a930b4be48880,choice-set,2,[],2,-1,-1,-1,NA,0,"{""December"":0,""June"":0,""April"":0,""July"":0,""September"":0,""November"":0,""March"":0,""August"":0,""January"":0,""October"":0,""February"":0,""May"":0}",,10287,9/24/18 14:09,25447
f610ff3d512d7f458e9bde23cfe5ab1a,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,70410,0,1,september,,21000,9/24/18 14:09,25448
79628cb4f82772af2b84e750170108f4,choice-set,2,[],2,-1,-1,-1,NA,0,"{""August"":0,""April"":1,""December"":0,""November"":0,""May"":0,""September"":1,""January"":0,""July"":0,""February"":0,""October"":1,""June"":1,""March"":0}",,46281,9/24/18 14:09,25449
bb74f44a7200eaf2012a8c07a70782a3,choice-set,2,[],2,-1,-1,-1,NA,0,"{""May"":0,""September"":0,""November"":0,""January"":1,""April"":1,""December"":0,""March"":1,""October"":1,""February"":1,""August"":0,""June"":0,""July"":0}",,25615,9/24/18 14:09,25450
207f9a1b86a628d17e4a08dfe4d316cf,choice-set,2,[],2,-1,-1,-1,NA,0,"{""April"":0,""February"":0,""January"":0,""November"":0,""July"":0,""October"":1,""June"":1,""May"":0,""August"":1,""December"":0,""September"":1,""March"":0}",,17759,9/24/18 14:09,25451
040db6447d74b3111c4043109e8b14ab,choice-set,2,[],2,-1,-1,-1,NA,0,"{""November"":1,""October"":0,""April"":0,""February"":0,""August"":0,""March"":0,""September"":0,""January"":0,""July"":0,""May"":0,""June"":0,""December"":0}",,18190,9/24/18 14:10,25452
48816473ce197ab676aafbc472a09f07,choice-set,2,[],2,-1,-1,-1,NA,0,"{""June"":0,""January"":1,""July"":0,""November"":0,""December"":0,""September"":0,""August"":0,""October"":0,""February"":1,""May"":1,""April"":1,""March"":1}",,43488,9/24/18 14:10,25453
7b298af3f05696ff056f37bf4548eba2,choice-set,2,[],2,-1,-1,-1,NA,0,"{""August"":0,""November"":1,""April"":1,""February"":0,""March"":1,""September"":1,""October"":1,""May"":0,""June"":0,""July"":0,""January"":1,""December"":0}",,106132,9/24/18 14:10,25454
3ac6ea307dba798e7b20f37204ac4a6d,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,31423,0,1,may,,21000,9/24/18 14:10,25455
7b3d943fd923a0be12dcfc12769fd996,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,48628,0,1,may,,21000,9/24/18 14:10,25456
087dbc6217f16c8503cd0c8b9a2df522,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,28290,0,1,marc,,21000,9/24/18 14:10,25457
2300cb24ea1131b1a79b800a6023094b,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,39191,0,1,april,,21000,9/24/18 14:10,25458
13f329e281f477d04bcc7a51a4326654,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,35674,0,1,November,"Sept
Oct
Dec
Nov
",21000,9/24/18 14:10,25459
19be563f3143d1a68e42e3632d783bcd,choice-set,2,[],2,-1,-1,-1,NA,0,"{""September"":1,""February"":0,""November"":0,""March"":1,""January"":0,""August"":1,""April"":1,""July"":0,""May"":0,""June"":1,""December"":0,""October"":1}",,54303,9/24/18 14:10,25460
24d8fdf3fb4aec44168a80b34a8b5a75,choice-set,2,[],2,-1,-1,-1,NA,0,"{""August"":0,""February"":1,""April"":1,""May"":1,""September"":0,""December"":0,""March"":1,""July"":0,""June"":0,""October"":0,""January"":1,""November"":0}",,34267,9/24/18 14:10,25461
b2e800145b38b344a74fc1ef6f5843e0,choice-set,2,[],2,-1,-1,-1,NA,0,"{""June"":0,""February"":0,""December"":1,""March"":0,""September"":1,""May"":0,""January"":0,""October"":1,""November"":0,""August"":0,""July"":0,""April"":0}",,10628,9/24/18 14:10,25462
89d2bfbe31c8bf987f90dc455533e2c0,choice-set,2,[],2,-1,-1,-1,NA,0,"{""January"":1,""October"":0,""August"":0,""March"":0,""September"":1,""December"":0,""May"":0,""February"":0,""July"":0,""April"":0,""June"":0,""November"":0}",,11596,9/24/18 14:10,25463
20de0141e3caa6f1d7d9c1627190ab46,choice-set,2,[],2,-1,-1,-1,NA,0,"{""April"":0,""September"":1,""December"":0,""February"":0,""March"":0,""June"":1,""May"":0,""November"":1,""January"":0,""August"":0,""October"":0,""July"":1}",,50966,9/24/18 14:11,25464
