subject,instructions_time,total_time,gender,use_s1,write_down,comments,stamp,id
a1fede247b470692a4a6a7c615fe8d30,22012,530756,Female,No,No,,9/24/18 14:03,6864
3e5d6cadfcf88b8bf2c7e8c1878dfd9a,53656,577854,Female,No,No,,9/24/18 14:03,6865
c34443cbfde4ec7b05e408c8c47662cc,108588,718695,Female,Yes,No,,9/24/18 14:05,6866
b33dee287257d676152aa478280530e5,68693,794588,Male,No,No,,9/24/18 14:06,6867
acad415d1fb6a7739472eb63d869a0ec,64843,727699,Female,Yes,No,"There is a typo- it says word, not words. I didnt realize i had to type as many months as possible. Kinda frusterating",9/24/18 14:07,6868
a3ab455cea0ee20591a6c44ba7d36101,69383,790161,Female,No,No,I was stumped and could not process fast enough. Need more than 20 seconds,9/24/18 14:07,6869
32e0c66e7f464b49eb670d8187b8397d,54806,748653,Female,No,No,just thinking of months,9/24/18 14:07,6870
961dfda65bb4399e58410b51aaf75851,79377,778105,Male,No,No,I just randomly started at the beginning of the calendar and was thinking in my head.,9/24/18 14:07,6871
33bbd5a3a74691aa134fbc1e732adb4c,78994,837118,Female,No,No,november came to mind right away,9/24/18 14:07,6872
048a74cfc1719d7283d720f7282c8648,56347,725289,Male,Yes,No,just a guess,9/24/18 14:07,6873
f1bb82e05ec9677c1887d7f369b23fd3,70164,874084,Male,No,No,Run through all the months and determine which one had the latest third letter.,9/24/18 14:08,6874
c58c93de1093afef84130d799c2f5109,68113,832874,Male,No,No,"Thanks for the opportunity to participate!

My strategy for the 'third letter' question was to sort the words (names of the months of the year) and quickly go through, mentally, the first three letters of every word, and then, determine if that third letter was late in the alphabet.",9/24/18 14:08,6875
d7eda57c200646cb2c27b067f8ee9a88,66027,875699,Female,No,No,"I went through all the months in my head, but I guessed I missed may. I don't know...",9/24/18 14:08,6876
35cc0f202132a2cb37403c5ede4bae61,50919,817353,Male,No,No,"Going through the months of the year until I hit upon one that fulfilled the requirement the best. ""May"" seemed to be the only choice, so I stopped there.",9/24/18 14:08,6877
192d2468b8268624c0e74e69a6f08d13,81840,810638,Female,No,No,,9/24/18 14:08,6878
b8deead95cb10c933037b8e21f8bba55,114507,847380,Male,Yes,No,The strategy was to look and see where the letter is in the alphabet and if it appeared in the previous test.,9/24/18 14:09,6879
580ac57a682dcb673413cdb95f7131e1,66089,801724,Female,No,No,I just started going mentally down the list of months,9/24/18 14:09,6880
e2b6d23eb392b116ffcf55dd556efd86,86377,859417,Female,No,No,,9/24/18 14:09,6881
1378dcb5c439c9f0cbfd7fa631b2fb0f,57532,856169,Male,No,No,"I randomly thought about months, it was not a good strategy. I came in with no plan and it showed.",9/24/18 14:09,6882
d5a782ce044da791a556cfefaee18652,107696,977704,Female,No,No,In my minds eye I tried to picture the first three letters for all the months.,9/24/18 14:09,6883
ee348ed1fceb6dc1d81a930b4be48880,98947,894055,Male,No,No,Thank you for the HIT,9/24/18 14:09,6884
79628cb4f82772af2b84e750170108f4,101726,986445,Female,No,No,it see if people could think that fast to see what would be the furthest letter ,9/24/18 14:10,6885
bb74f44a7200eaf2012a8c07a70782a3,64037,896653,Female,No,No,start at the beginning on the year in months and go down the list to find a third letter that was at the beginning of the alphabet,9/24/18 14:10,6886
207f9a1b86a628d17e4a08dfe4d316cf,70089,922906,Female,No,No,unfortunately very little other than saying them all,9/24/18 14:10,6887
48816473ce197ab676aafbc472a09f07,291432,976024,Male,No,No,"I just went by sequential month order until I got to ""May"". I stopped there as ""Y"" is the second-to-last letter of the alphabet and no month contains the letter ""Z"".",9/24/18 14:10,6888
040db6447d74b3111c4043109e8b14ab,275781,946699,Female,No,No,I had no strategy.,9/24/18 14:10,6889
7b298af3f05696ff056f37bf4548eba2,93346,960038,Male,No,No,"Mentally thought of the typical three letter abbreviation of each month then quickly tried to see if there was a letter larger than whatever one I thought of previously. Like ""Jun"" > ""n, o, p"" > Sep > ""q, r, s, t, u, v"" > NOVEMBER! Got excited and saw my time remaining; forgot May.",9/24/18 14:10,6890
19be563f3143d1a68e42e3632d783bcd,74289,922841,Female,No,No,"I picked September because well, it is September and I wanted to have something in the box just in case I ran out of time, and then I was trying to run through the months and their 3rd letters AND the alphabet. ",9/24/18 14:10,6891
24d8fdf3fb4aec44168a80b34a8b5a75,76023,937039,Female,No,No,"I just started with January and went in month order. I got to May, knowing there isn't a month with Z in it, knew it would be highest scoring and stopped there.",9/24/18 14:10,6892
89d2bfbe31c8bf987f90dc455533e2c0,86375,1019440,Female,No,No,No idea,9/24/18 14:11,6893
b2e800145b38b344a74fc1ef6f5843e0,78827,919577,Male,No,No,none,9/24/18 14:11,6894
20de0141e3caa6f1d7d9c1627190ab46,86160,1046386,Male,No,No,I just thought through the months thinking of their third letter. It surprises me that I did not think of May.,9/24/18 14:11,6895
3ac6ea307dba798e7b20f37204ac4a6d,67984,991698,Male,No,No,I just went through all of the months chronologically in my head quickly and thought of what the third letter is in each one. ,9/24/18 14:11,6896
2300cb24ea1131b1a79b800a6023094b,95563,868718,Male,No,No,I panicked.,9/24/18 14:11,6897
13f329e281f477d04bcc7a51a4326654,150812,955002,Male,No,No,To start naming months that were in the latter half of the year.,9/24/18 14:11,6898
087dbc6217f16c8503cd0c8b9a2df522,64831,901684,Female,No,No,tried to figure it out quick,9/24/18 14:11,6899
f610ff3d512d7f458e9bde23cfe5ab1a,130748,1012243,Male,Yes,No,To think about the third letter in months. should have used november but because of the time i didnt think about it.,9/24/18 14:12,6900
656c1a2b088834e466093fc99507f526,63082,1093079,Male,No,No,"I tried to quickly think of the months in order (which I'm not good at anyways) and their 3rd letter. Because I had another ordering (from part 1) this created a lot of confusion. Luckily ""May"" came up quickly because it only has 3 letters, and no months have 'z' in them, so I knew it was optimal. ",9/24/18 14:12,6901
7b3d943fd923a0be12dcfc12769fd996,85882,891296,Male,No,No,Started at the beginning of the year.,9/24/18 14:12,6902
f436efcdb8d7b88ce5ab229e89251094,78225,1070097,Female,No,No,to go in order from first to last in months,9/24/18 14:12,6903
76d1696caeca0855001b779728c415fc,49983,832489,Male,No,No,I started listing the months in order and realized that May would have the latest third letter (there aren't any months that have a Z in them).,9/24/18 14:12,6904
99d232ad515bb54fd04af8a11d6edef7,83396,898444,Female,No,No,i thought of one that was no good. then I thought of november and just went with it because it was late in alphabet. I didn't have time to think of a better word,9/24/18 14:13,6905
9eec5e3516635cd1932da08a7231aa11,94154,1052858,Female,No,No,I was trying to set it up in my head where the third letter would highlight itself in my head so I would only (see) visualize the third letter which meant it took me bit of time to set up the brain filter so I only thought of two words: October and November. I didn't know how else to do it efficiently.,9/24/18 14:13,6906
748a43017ad1672ba27694f4c20334e2,63666,854460,Female,Yes,No,GOOD SURVEY,9/24/18 14:13,6907
b9b42acdf646de45caf1e11a17ceac08,100925,1157512,Male,No,No,"Whatever month had the third letter the latest in the alphabet, i would choose.",9/24/18 14:13,6908
bf381aad55feb38f685ad5a25e924964,97066,967345,Female,No,No,just thought of the months with letters that are at the end of the alphabet,9/24/18 14:13,6909
b32f20238ea5f3af052b7ef509588e2e,130390,945812,Male,No,No,alphabetical order.,9/24/18 14:13,6910
0c983f2d54b4b0669b379edcd8c78b2f,87328,1113306,Male,No,No,I thought of the words in order from first to last and thought about what is there third letter,9/24/18 14:13,6911
4af3c962724c1493b87432f457587693,212804,1138853,Female,No,No,"I went through the months in order, which meant I got to december the answer, last and ran out of time",9/24/18 14:13,6912
9b9a872715a587b2ddfa48297ab45e88,97394,897202,Male,No,No,November just popped in my head and i saw the letter V and knew it was high enough.,9/24/18 14:14,6913
62a9f357dc450da4e2ad583b735c0686,91484,889538,Female,No,No,I took the first word I could remember. ,9/24/18 14:14,6914
e16c0b61f6da8b8a459f264b5c1e3345,86766,1221896,Female,No,No,"I didn't really have a strategy, I determined the third letter of the first couple words that came to my mind and went with november because I figured v was pretty late in the alphabet",9/24/18 14:14,6915
eca95b5f7c194e990e75e70259f08fec,129500,1194595,Female,No,No,just go through each word in my mind,9/24/18 14:14,6916
9d26153358d7b78c0cd0e425fd461b6c,75143,1078891,Female,No,No,"Very interesting study! I simply just thought of all of the words in my head, and November stuck out to me. I did not even consider May until it was presented to me. ",9/24/18 14:14,6917
822abf9ea33f11f3c5867de84f7a5c0e,64578,1255215,Female,No,No,,9/24/18 14:14,6918
fc59b23a7abd476a5b06a2ccd6dc2e88,64028,955342,Female,No,No,"I tried to list months as quickly as possible in my notepad so I'd have time to consider them and pick the best answer--when I started running out of time, I eliminated remaining answers that weren't written down on by comparing them to the best written answer so far. ",9/24/18 14:14,6919
becd4837ea9a5c6affda9dd1e25c788b,64640,807972,Male,Yes,No,,9/24/18 14:14,6920
857c37e915fdd86d6a502528d0e55433,129504,1140364,Male,No,No,"I tried to find the one that was the latest, but now looking at the words, I think the answer is May and not November",9/24/18 14:14,6921
3b45819e2eab799cd750f58911444e50,108446,970695,Male,No,No,trying to remember all of the words from part 1,9/24/18 14:15,6922
cd2467c18960077fb6d0266069845c25,106751,1190950,Male,No,No,Pronounced the first syllable for a few months until I got to one that sounded like the third letter was late in the alphabet.  ,9/24/18 14:15,6923
9a4b58e0e865e954954076fe81c708dd,31990,671855,Male,Yes,No,c,9/24/18 14:15,6924
96715ac8ba39d2e0b878f7795eba3703,104669,1159224,Female,Yes,No,no i dont and it was a  nice strategy to use,9/24/18 14:15,6925
62300a1ed1596e3d05ea09e4e4db66b2,121675,1234396,Female,No,No,"I had to guess, because of the timer.",9/24/18 14:15,6926
d768e79401eabbd8ee8751286fa30ae5,125709,1093685,Female,No,No,"I just went through the months in order (jan, feb, mar.) Super curious about what the study was looking to achieve!",9/24/18 14:15,6927
aeec58c213993ce4e27dbb5551b36d20,69957,1072034,Female,No,No,For some reason my mind went straight to the longest words from part 1,9/24/18 14:15,6928
d68cd3f6a985608ff91de201aa418d11,142592,1308690,Male,No,No,I ran the list of months through my head and went with the one that seemed best,9/24/18 14:16,6929
801a20e812e93877f4ae0ff721d70459,132676,1170160,Male,No,No,none i was trying to remember but my mind was kinda blank could only think of 2 months. ,9/24/18 14:16,6930
e706f9fb60d409de1563066c3f78c2fb,157304,1309808,Male,No,No,"I just instantly thought of May, and did not even consider any of the other months, as May's third letter was very close to the end of the alphabet, so was going to be worth 25 points.",9/24/18 14:16,6931
ed9c4ae5c21d96646eb77d2d7cbc1000,79134,1186838,Female,No,No,"I could only think of January, August and December. So I went with January because it was the latest letter of the two.",9/24/18 14:16,6932
65ce626a670bcdc4d9251a72af2da096,76975,852020,Female,Yes,No,I just picked the first month that came to me,9/24/18 14:16,6933
d61dcbb38956ab7ef4189865f5290af7,61519,764769,Male,No,No,"I went in order of the months. When I got to May, I figured it must be the best answer. ",9/24/18 14:16,6934
5edc7b9dc954996c0b5951cdef1560b0,78160,1173293,Female,No,No,no,9/24/18 14:16,6935
f5601347729a1fa3ad8dac030f88f491,76533,867719,Female,No,No,november was the first thing that came to mind so I wrote that down and then I started thinking about the alphabet a little more and realized may y is closer tot he end. ,9/24/18 14:16,6936
0495928b8933d62c506f7b3e2dee8722,68131,1317221,Female,Yes,Yes,,9/24/18 14:16,6937
