subject,cond,question,question_ind,all_values,question_order,comp_check,comp_check_pass,comp_check_rt,comp_check2,comp_check_pass2,choice,scratch,rt,stamp,id
6b3d9bad1a79ea3d6e853419f34854fc,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,15,0,34136,0,1,marry,,21000,7/27/20 13:22,40147
6b3d9bad1a79ea3d6e853419f34854fc,0,choice-set,2,[],2,-1,-1,-1,NA,0,"{""June"":0,""October"":0,""January"":0,""September"":0,""August"":0,""November"":0,""December"":0,""March"":0,""April"":0,""July"":0,""May"":1,""February"":0}","{""May"":1}",17699,7/27/20 13:24,40148
27ec8169710d6b66bebe53f53ccd26c3,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,26221,26,0,october,,21000,7/27/20 13:25,40149
2bcfecfb3484711c0006206ad0a42871,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,37671,0,1,,April,21000,7/27/20 13:26,40150
f3cbc768a730bc9330f2270eac3e0498,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,29941,26,0,November,November,21000,7/27/20 13:27,40151
530e26eb576548494012f16d5ff663ac,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,15,0,72825,0,1,,,21000,7/27/20 13:27,40152
27ec8169710d6b66bebe53f53ccd26c3,0,choice-set,2,[],2,-1,-1,-1,NA,0,"{""May"":0,""January"":0,""August"":0,""June"":0,""November"":0,""September"":1,""October"":1,""February"":1,""December"":1,""July"":0,""April"":0,""March"":0}","{""September"":1,""October"":2,""February"":3,""December"":4}",36370,7/27/20 13:27,40153
2bcfecfb3484711c0006206ad0a42871,0,choice-set,2,[],2,-1,-1,-1,NA,0,"{""June"":1,""September"":1,""May"":0,""February"":0,""July"":0,""December"":0,""October"":0,""March"":1,""January"":0,""April"":1,""November"":0,""August"":0}","{""June"":3,""September"":4,""March"":2,""April"":1}",3340,7/27/20 13:28,40154
a39565e6f6d74a9508035b8224756872,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,48279,0,1,MARCH,,21000,7/27/20 13:29,40155
cf82db4191159279b5660043f207004b,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,40420,0,1,FEBRRUARY ,"DECEMBER = 3
FEBRUARY =",21000,7/27/20 13:29,40156
486ad80f22e951556c0bb3f4a388340b,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,31520,0,1,May,,21000,7/27/20 13:29,40157
530e26eb576548494012f16d5ff663ac,0,choice-set,2,[],2,-1,-1,-1,NA,0,"{""December"":1,""September"":0,""April"":0,""May"":0,""March"":0,""July"":0,""February"":0,""June"":0,""October"":0,""November"":0,""August"":0,""January"":0}","{""December"":1}",55938,7/27/20 13:29,40158
52cd66f63e078e291c183f481087647c,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,42638,0,1,Januar,,21000,7/27/20 13:30,40159
01023793d732933dbf5c92fd9b9f078a,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,42295,0,1,may,,21000,7/27/20 13:30,40160
f3cbc768a730bc9330f2270eac3e0498,0,choice-set,2,[],2,-1,-1,-1,NA,0,"{""February"":1,""January"":1,""May"":0,""July"":1,""August"":1,""September"":1,""June"":1,""December"":0,""March"":1,""November"":1,""October"":0,""April"":1}","{""February"":2,""January"":1,""July"":6,""August"":7,""September"":8,""June"":5,""March"":3,""November"":9,""April"":4}",97984,7/27/20 13:31,40161
cf82db4191159279b5660043f207004b,0,choice-set,2,[],2,-1,-1,-1,NA,0,"{""July"":0,""February"":1,""June"":0,""November"":0,""March"":0,""May"":0,""April"":0,""January"":1,""August"":0,""September"":0,""October"":0,""December"":1}","{""February"":3,""January"":1,""December"":2}",37644,7/27/20 13:31,40162
c71aa12ac6d08001f358d76cf4e43498,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,39586,26,0,September,,21000,7/27/20 13:31,40163
701a06cd401693ea875340d89f7ded65,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,44065,0,1,May,,21000,7/27/20 13:31,40164
a39565e6f6d74a9508035b8224756872,0,choice-set,2,[],2,-1,-1,-1,NA,0,"{""February"":0,""March"":1,""October"":0,""January"":0,""December"":1,""April"":0,""August"":0,""November"":0,""May"":0,""June"":1,""September"":1,""July"":0}","{""March"":1,""December"":3,""June"":4,""September"":2}",42117,7/27/20 13:31,40165
3f678a2078227f5d7c87efcd4eac1eb1,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,29349,0,1,November,,21000,7/27/20 13:31,40166
486ad80f22e951556c0bb3f4a388340b,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""September"":0,""December"":1,""August"":0,""July"":0,""January"":1,""March"":1,""May"":1,""November"":0,""October"":0,""April"":1,""June"":0,""February"":1}","{""December"":6,""January"":1,""March"":3,""May"":7,""April"":5,""February"":2}",22822,7/27/20 13:31,40167
e00da79555aed361acdb88242f5e809f,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,38281,0,1,November,,21000,7/27/20 13:32,40168
b8cf446731ee39a255d7f22eba530789,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,41866,0,1,april,,21000,7/27/20 13:32,40169
fb2328dfc53e7c541dd32bbde1efddb7,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,25852,0,1,May,November,21000,7/27/20 13:32,40170
9bab0040ea30352458ad3bfa7e4d350a,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,23324,0,1,May,,21000,7/27/20 13:32,40171
e2dcc6eed89e71148d86339d89b55d3c,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,39811,0,1,May,,21000,7/27/20 13:33,40172
c31a85663dbe2ec62bb92e9a8b470d1c,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,34362,0,1,may,,21000,7/27/20 13:33,40173
01023793d732933dbf5c92fd9b9f078a,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""December"":0,""February"":0,""September"":1,""January"":0,""October"":0,""May"":1,""March"":1,""August"":1,""November"":0,""June"":0,""July"":0,""April"":0}","{""September"":3,""May"":4,""March"":2,""August"":1}",41634,7/27/20 13:33,40174
6df2ce0e918974899e7637179cd4d165,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,26965,0,1,March,,21000,7/27/20 13:33,40175
701a06cd401693ea875340d89f7ded65,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""October"":0,""January"":1,""March"":0,""June"":0,""December"":0,""May"":1,""July"":0,""April"":1,""August"":0,""February"":1,""November"":0,""September"":0}","{""January"":1,""May"":4,""April"":3,""February"":2}",30233,7/27/20 13:33,40176
52cd66f63e078e291c183f481087647c,0,choice-set,2,[],2,-1,-1,-1,NA,0,"{""August"":0,""September"":0,""May"":0,""December"":0,""March"":0,""October"":0,""January"":1,""November"":0,""April"":0,""February"":0,""July"":0,""June"":0}","{""January"":1}",106697,7/27/20 13:33,40177
2e5fe0e71e606357183b9f6aede98522,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,30587,0,1,November,,21000,7/27/20 13:33,40178
3f678a2078227f5d7c87efcd4eac1eb1,0,choice-set,2,[],2,-1,-1,-1,NA,0,"{""November"":1,""September"":1,""April"":0,""July"":0,""August"":0,""May"":0,""March"":0,""January"":1,""December"":0,""June"":0,""February"":0,""October"":0}","{""November"":3,""September"":1,""January"":2}",13992,7/27/20 13:33,40179
74fbfacac4011bd196e581153df4240b,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,48251,0,1,OCTOBER,MARCH OCTOBER,21000,7/27/20 13:33,40180
c71aa12ac6d08001f358d76cf4e43498,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""February"":0,""October"":0,""November"":0,""May"":0,""March"":1,""September"":1,""January"":1,""April"":1,""December"":0,""June"":0,""August"":0,""July"":0}","{""March"":2,""September"":4,""January"":1,""April"":3}",76399,7/27/20 13:34,40181
1760d4eacc348e1a1db3b04e488d042e,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,55140,0,1,November,,21000,7/27/20 13:34,40182
fb2328dfc53e7c541dd32bbde1efddb7,0,choice-set,2,[],2,-1,-1,-1,NA,0,"{""July"":0,""June"":0,""September"":0,""January"":1,""March"":1,""October"":1,""August"":1,""May"":1,""February"":1,""December"":0,""April"":1,""November"":1}","{""January"":3,""March"":5,""October"":2,""August"":8,""May"":7,""February"":4,""April"":6,""November"":1}",26796,7/27/20 13:34,40183
8b4d7f8ef92e92a941860ddb62b6af48,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,15,0,71733,0,1,chrome ,chrome,21000,7/27/20 13:34,40184
b8cf446731ee39a255d7f22eba530789,0,choice-set,2,[],2,-1,-1,-1,NA,0,"{""March"":1,""April"":1,""June"":0,""November"":0,""July"":0,""January"":1,""August"":0,""September"":0,""October"":0,""May"":0,""February"":1,""December"":0}","{""March"":3,""April"":4,""January"":1,""February"":2}",28342,7/27/20 13:34,40185
9bab0040ea30352458ad3bfa7e4d350a,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""February"":0,""July"":0,""January"":1,""March"":0,""April"":1,""May"":1,""September"":0,""June"":0,""August"":0,""November"":0,""December"":0,""October"":0}","{""January"":1,""April"":2,""May"":3}",28189,7/27/20 13:34,40186
ce12a851295fa081aca0cb36eefbb364,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,67337,0,1,november,novem,21000,7/27/20 13:35,40187
6df2ce0e918974899e7637179cd4d165,0,choice-set,2,[],2,-1,-1,-1,NA,0,"{""December"":0,""August"":0,""September"":0,""June"":0,""October"":0,""April"":0,""November"":0,""July"":0,""May"":0,""January"":1,""February"":1,""March"":1}","{""January"":1,""February"":2,""March"":3}",25891,7/27/20 13:35,40188
7498a00366b218b59a5e03b8c5b600a6,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,27903,0,1,November,September,21000,7/27/20 13:35,40189
e385b4096b98592caba3082fbdcd55f8,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,58382,0,1,treasure,,21000,7/27/20 13:35,40190
e2dcc6eed89e71148d86339d89b55d3c,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""September"":1,""April"":0,""March"":1,""February"":0,""June"":0,""July"":1,""December"":0,""January"":1,""October"":1,""August"":0,""November"":1,""May"":1}","{""September"":7,""March"":6,""July"":4,""January"":1,""October"":2,""November"":3,""May"":5}",28241,7/27/20 13:35,40191
ce889dc24d3bc53756faa92934b99fe6,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,32697,0,1,november,,21000,7/27/20 13:35,40192
6d25d7621a8bcc0961afcbb484169a5f,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,50021,0,1,IMPACT,,21000,7/27/20 13:35,40193
2e5fe0e71e606357183b9f6aede98522,0,choice-set,2,[],2,-1,-1,-1,NA,0,"{""February"":0,""September"":1,""December"":0,""July"":1,""May"":0,""October"":1,""April"":1,""January"":1,""November"":1,""June"":1,""August"":0,""March"":1}","{""September"":4,""July"":1,""October"":3,""April"":2,""January"":5,""November"":6,""June"":8,""March"":7}",22394,7/27/20 13:35,40194
e18eb5a06a48186329f301a1ef8ee69a,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,67792,0,1,April,,21000,7/27/20 13:36,40195
e00da79555aed361acdb88242f5e809f,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""November"":1,""April"":0,""May"":0,""October"":1,""January"":0,""February"":0,""December"":1,""June"":0,""March"":1,""August"":1,""September"":1,""July"":1}","{""November"":4,""October"":3,""December"":5,""March"":6,""August"":1,""September"":2,""July"":7}",83846,7/27/20 13:36,40196
072de62f22c98b4bc17e317d9b891cf7,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,175400,26,0,,,21000,7/27/20 13:36,40197
c31a85663dbe2ec62bb92e9a8b470d1c,0,choice-set,2,[],2,-1,-1,-1,NA,0,"{""July"":0,""November"":1,""January"":1,""September"":0,""December"":0,""August"":0,""March"":1,""April"":1,""February"":1,""October"":0,""May"":1,""June"":0}","{""November"":1,""January"":2,""March"":4,""April"":5,""February"":3,""May"":6}",58640,7/27/20 13:36,40198
633150bc7903343f2ee0eb3e73b9a48a,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,72314,0,1,november,,21000,7/27/20 13:36,40199
ef1176283bc2c47299ab35941123bc80,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,96453,0,1,november,November,21000,7/27/20 13:36,40200
5505e6519f92cb871618bf3e8e81c1c8,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,33813,0,1,October,"January
Feb
Mar
Apr
jun
Jul
Aug
Oct",21000,7/27/20 13:36,40201
042a8354d4983b7b23c84cca277672c8,1,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,36356,0,1,May,,21000,7/27/20 13:36,40202
ce889dc24d3bc53756faa92934b99fe6,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""July"":0,""August"":0,""October"":0,""September"":0,""January"":0,""May"":0,""April"":0,""November"":1,""December"":1,""March"":0,""February"":0,""June"":0}","{""November"":2,""December"":1}",2120,7/27/20 13:36,40203
74fbfacac4011bd196e581153df4240b,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""January"":0,""February"":0,""June"":0,""August"":0,""November"":0,""July"":0,""May"":0,""March"":1,""September"":0,""December"":0,""April"":0,""October"":1}","{""March"":1,""October"":2}",91083,7/27/20 13:36,40204
ce12a851295fa081aca0cb36eefbb364,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""June"":0,""August"":0,""March"":0,""January"":0,""July"":0,""April"":0,""October"":0,""November"":1,""May"":0,""February"":0,""December"":0,""September"":0}","{""November"":1}",35544,7/27/20 13:37,40205
1760d4eacc348e1a1db3b04e488d042e,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""August"":0,""July"":1,""February"":0,""March"":1,""October"":1,""December"":0,""May"":0,""April"":1,""January"":0,""November"":1,""June"":1,""September"":1}","{""July"":4,""March"":2,""October"":5,""April"":3,""November"":1,""June"":7,""September"":6}",4818,7/27/20 13:37,40206
caac50a2905f8462c417ef159e3f40df,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,96678,0,1,November ,,21000,7/27/20 13:37,40207
e385b4096b98592caba3082fbdcd55f8,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""February"":0,""October"":0,""December"":0,""July"":0,""May"":0,""September"":0,""November"":0,""April"":0,""January"":0,""June"":0,""March"":0,""August"":1}","{""August"":1}",46944,7/27/20 13:37,40208
6d25d7621a8bcc0961afcbb484169a5f,0,choice-set,2,[],2,-1,-1,-1,NA,0,"{""November"":0,""April"":0,""June"":0,""August"":0,""January"":0,""March"":0,""December"":0,""July"":0,""May"":0,""September"":1,""February"":0,""October"":0}","{""September"":1}",11500,7/27/20 13:37,40209
e18eb5a06a48186329f301a1ef8ee69a,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""July"":0,""December"":0,""August"":1,""June"":1,""October"":0,""November"":0,""January"":0,""May"":0,""February"":1,""March"":0,""September"":1,""April"":1}","{""August"":2,""June"":3,""February"":5,""September"":4,""April"":1}",2398,7/27/20 13:38,40210
d958663a29b3447fcfe5eb5b10fefe42,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,38682,0,1,"march
",,21000,7/27/20 13:38,40211
5d058007918a149ee5a5e30775e4a53a,0,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,38594,0,1,March,,21000,7/27/20 13:38,40212
8b4d7f8ef92e92a941860ddb62b6af48,1,choice-set,2,[],2,-1,-1,-1,NA,0,"{""January"":1,""March"":1,""June"":0,""July"":0,""May"":0,""April"":1,""December"":1,""August"":0,""November"":1,""February"":0,""September"":1,""October"":1}","{""January"":1,""March"":6,""April"":3,""December"":2,""November"":4,""September"":7,""October"":5}",5430,7/27/20 13:38,40213
